text,label
i just left feeling like it . <eos>,Negative
they do n't even deserve their food . <eos>,Negative
not impressed at all costs . <eos>,Negative
"however , the food is not good , but not worth the money . <eos>",Negative
so disappointing . <eos>,Negative
ordered the chicken and i ordered the chicken parm chicken . <eos>,Negative
_num_ minutes for the food . <eos>,Negative
i wish i could give it _num_ stars i would . <eos>,Negative
the food was terrible . <eos>,Negative
the only reason i do n't want to get it to get your vehicle . <eos>,Negative
not even a good deal . <eos>,Negative
ridiculous . <eos>,Negative
she did n't even acknowledge me . <eos>,Negative
"but , i ' m not sure what i ordered it . <eos>",Negative
so i ordered the chicken and it was very disappointing . <eos>,Negative
by far the worst hotel i have ever had in the life . <eos>,Negative
she said she did n't even acknowledge to help me . <eos>,Negative
worst experience at all costs cost . <eos>,Negative
"needless to say , we were n't even we ' ll be back for more . <eos>",Negative
but i wo n't be back . <eos>,Negative
so much of the food was n't good at all . <eos>,Negative
the food is terrible . <eos>,Negative
it was very disappointing . <eos>,Negative
the manager was n't very helpful either . <eos>,Negative
the staff was very rude and unorganized . <eos>,Negative
i did n't even get my order . <eos>,Negative
"but , i wo n't be back again . <eos>",Negative
i mean the worst . <eos>,Negative
and the service was very slow . <eos>,Negative
this is the worst customer service ever . <eos>,Negative
"however , i was not impressed with the service at this location . <eos>",Negative
it was just plain and rubbery . <eos>,Negative
we were very disappointed with the service . <eos>,Negative
but no complaints whatsoever . <eos>,Negative
so i will be back to this location and will never be back again . <eos>,Negative
they are very rude and the service is horrible . <eos>,Negative
the chicken is not good . <eos>,Negative
"food was ok , but the service was n't good at all . <eos>",Negative
it was a little _num_ minutes to get a drink on the menu . <eos>,Negative
avoid . <eos>,Negative
my wife and i went to get a prescription of my car washed out . <eos>,Negative
horrible experience . <eos>,Negative
"i ' ve been here twice , but i was disappointed . <eos>",Negative
$ _num_ for a _num_ dollar . <eos>,Negative
after the last time i went here for a few minutes of my food . <eos>,Negative
the food and service was terrible . <eos>,Negative
no complaints . <eos>,Negative
"not a good deal , but not worth it . <eos>",Negative
i wish i could n't . <eos>,Negative
not the hot tub . <eos>,Negative
i wish i had a bad experience here . <eos>,Negative
"but , the food is not good and not . <eos>",Negative
the food is not good . <eos>,Negative
the owner needs to be fired my business . <eos>,Negative
they do n't care about the patients and do n't care about . <eos>,Negative
the food was very disappointing . <eos>,Negative
it was n't even a good job to get a drink drink . <eos>,Negative
i hate . <eos>,Negative
the food was a little bit of the ordinary . <eos>,Negative
fries were ok but nothing special . <eos>,Negative
so disappointed . <eos>,Negative
"but , i wo n't be back . <eos>",Negative
but i am not impressed with this place for the future . <eos>,Negative
i ' m not sure what i could say . <eos>,Negative
the lady who did n't even acknowledge that i was so rude and helpful . <eos>,Negative
"the <unk> are not good , but not the greatest deal for it . <eos>",Negative
the fries were cold and the fries were cold . <eos>,Negative
it was a little bit of the food was n't good but not good . <eos>,Negative
_num_ stars for the food and service . <eos>,Negative
they were very busy with the food . <eos>,Negative
the servers were very rude and the service was terrible . <eos>,Negative
the staff is very rude and very unhelpful . <eos>,Negative
but the food is not good . <eos>,Negative
_num_ stars for me . <eos>,Negative
there is no one of the ` ` ` ` ` ` no cheese ' ' . <eos>,Negative
the place is not clean and the staff is very rude . <eos>,Negative
worst service . <eos>,Negative
horrible customer service and rude service and rude . <eos>,Negative
no way to say this place . <eos>,Negative
the worst experience i have ever had . <eos>,Negative
i do n't . <eos>,Negative
this place was horrible . <eos>,Negative
food was ok but nothing special . <eos>,Negative
i am not sure i did . <eos>,Negative
"when we went to get our food , we ordered a _num_ minutes . <eos>",Negative
it was a little bit of the food was terrible . <eos>,Negative
but i was n't impressed . <eos>,Negative
rude staff . <eos>,Negative
so i could give it _num_ stars . <eos>,Negative
"the fries were ok , but the food was not good at all . <eos>",Negative
the only thing was the service . <eos>,Negative
the only thing i ordered was the best of the food . <eos>,Negative
