text,label
it was n't bad but it ' s worth it . <eos>,past_neg
the service was very slow and the food . <eos>,past_neg
i ' ve never had . <eos>,past_neg
the service was terrible . <eos>,past_neg
the only thing i was the best experience . <eos>,past_neg
i had a groupon and the service was horrible . <eos>,past_neg
she was n't even worse . <eos>,past_neg
the service was very slow and slow . <eos>,past_neg
"when we got the food , the service was very poor and food . <eos>",past_neg
the food was ok but the service was n't even better . <eos>,past_neg
i was not impressed . <eos>,past_neg
service was awful . <eos>,past_neg
this was a very disappointing experience and the service was awful . <eos>,past_neg
"however , i was not impressed with the food was the best . <eos>",past_neg
this place was the worst experience i ' ve ever had . <eos>,past_neg
the waitress did n't care about us . <eos>,past_neg
the service was terrible . <eos>,past_neg
the service was awful . <eos>,past_neg
"after my wife ' s birthday , i had a birthday time to get . <eos>",past_neg
it was a bit bad and it . <eos>,past_neg
the only thing they were able to have the food . <eos>,past_neg
it was gross . <eos>,past_neg
i ' m not sure why i was so impressed with this place . <eos>,past_neg
and the service was very slow . <eos>,past_neg
no one of the food was very good . <eos>,past_neg
"however , the food was ok but not worth it . <eos>",past_neg
this was a first time to get the worst service i have had . <eos>,past_neg
i had a bad experience at this place was a big mistake . <eos>,past_neg
the service was very slow . <eos>,past_neg
the service was very slow and the food was awful . <eos>,past_neg
i was n't impressed with the food that was . <eos>,past_neg
it was n't bad . <eos>,past_neg
she did n't know what i could n't get it . <eos>,past_neg
i did n't know how much the food was very bland . <eos>,past_neg
i did n't know how i ' m sure what i paid . <eos>,past_neg
i was not impressed with this place . <eos>,past_neg
i was not impressed with this place to stay at this hotel . <eos>,past_neg
the service was very slow and the food . <eos>,past_neg
service was very slow and the food was awful . <eos>,past_neg
it was n't worth it . <eos>,past_neg
it was very bland . <eos>,past_neg
there was a little bit of the other places i was very disappointed . <eos>,past_neg
the service was n't even worse . <eos>,past_neg
i was not impressed with the food . <eos>,past_neg
i had a bad experience with the food and the service . <eos>,past_neg
she did n't even apologize . <eos>,past_neg
i had a bad experience with the food and the service was awful . <eos>,past_neg
i was not impressed with the food was cold . <eos>,past_neg
the service was slow . <eos>,past_neg
"when i got the chance , i would not have to have them . <eos>",past_neg
she was n't even know how she was doing to be the best . <eos>,past_neg
"the service was very slow , but the food was very slow . <eos>",past_neg
it was awful . <eos>,past_neg
but the food was ok but it was ok . <eos>,past_neg
the food was n't good and fresh . <eos>,past_neg
"i was n't impressed with the food , but the food . <eos>",past_neg
the fries were cold . <eos>,past_neg
it was n't worth it . <eos>,past_neg
this place was n't bad but not worth it . <eos>,past_neg
i was n't impressed with the worst experience i ' ve ever had . <eos>,past_neg
i ' m not sure why what they did n't have a bad job . <eos>,past_neg
it was n't like it ' s . <eos>,past_neg
but it was n't good . <eos>,past_neg
"it was n't good , but the food was n't good . <eos>",past_neg
this was a very bad experience and the service was awful . <eos>,past_neg
she did n't even apologize me . <eos>,past_neg
this was a terrible . <eos>,past_neg
the fries were cold and they were cold . <eos>,past_neg
it was n't bad at all . <eos>,past_neg
she did n't know what she did n't care about _num_ . <eos>,past_neg
the waitress was very rude and the food was n't good . <eos>,past_neg
i was a worst experience ever . <eos>,past_neg
the worst experience ever ever . <eos>,past_neg
the food was very bland and tasteless . <eos>,past_neg
it was a little pricey and the food was mediocre . <eos>,past_neg
the first time i was not impressed with the food . <eos>,past_neg
she said she was n't even bother me in my hair . <eos>,past_neg
when i got the car and the car was n't bad . <eos>,past_neg
"the food was ok , but it was n't worth it . <eos>",past_neg
the service was very slow and the food was awful . <eos>,past_neg
this place was a total disappointment and the food was cold . <eos>,past_neg
i had a bad experience . <eos>,past_neg
she was very rude and the service was very slow . <eos>,past_neg
"when i got the food , it was n't good . <eos>",past_neg
the food was ok but the service was very poor . <eos>,past_neg
"the service was slow , but the food was very slow . <eos>",past_neg
i had a groupon and the food was n't bad at all . <eos>,past_neg
the service was very slow . <eos>,past_neg
` ` ` ` ` ` ` ` ` ` ` ` ` ` ' ' . <eos>,past_neg
this was a bad experience and the food was very good . <eos>,past_neg
it was awful . <eos>,past_neg
and the food was mediocre at best . <eos>,past_neg
the service was very slow and slow . <eos>,past_neg
the food was mediocre at best . <eos>,past_neg
this was a very disappointing . <eos>,past_neg
the food was ok but it was ok . <eos>,past_neg
the service was awful . <eos>,past_neg
service was terrible . <eos>,past_neg
the food was ok but the service was awful . <eos>,past_neg
this was a very disappointing experience and the food was very good . <eos>,past_neg
she was n't even bother to me to me the home . <eos>,past_neg
"i had a bad experience with the food , but i ' ve ever . <eos>",past_neg
service was slow and the food was awful . <eos>,past_neg
the waitress did n't know how she did n't care . <eos>,past_neg
_num_ minutes later we were seated down . <eos>,past_neg
it was n't bad but i ' ve been . <eos>,past_neg
i was wrong . <eos>,past_neg
"the service was very slow , but the food was n't bad . <eos>",past_neg
"the food was ok , but the service was awful . <eos>",past_neg
i was very disappointed with the service was the food . <eos>,past_neg
it was n't be busy for the first time i had a bad experience . <eos>,past_neg
"the food was very disappointing , but not worth the price . <eos>",past_neg
"the food was ok , but i ' ve ever had at all . <eos>",past_neg
and the food was very bland and the service was very slow . <eos>,past_neg
it was not bad . <eos>,past_neg
this place was a total disappointment . <eos>,past_neg
this place was not a good value in the price . <eos>,past_neg
the only thing was the waitress was very nice and attentive . <eos>,past_neg
this was a very disappointing experience and the food was very good . <eos>,past_neg
"i was not impressed with the food , but the service was poor . <eos>",past_neg
so i ' ve been to be a bit disappointed with the food . <eos>,past_neg
this place was not a good experience at all of all . <eos>,past_neg
they were very rude and disrespectful . <eos>,past_neg
it ' s not bad . <eos>,past_neg
the worst experience i ever had . <eos>,past_neg
she was n't even the best thing to get the bill for my hair . <eos>,past_neg
the food was ok but the service was very poor . <eos>,past_neg
"the food was mediocre , but the service was very poor . <eos>",past_neg
she was n't bad . <eos>,past_neg
the food was mediocre and the service was awful . <eos>,past_neg
she was n't even acknowledged my hair . <eos>,past_neg
the whole experience was n't bad either . <eos>,past_neg
this was a first time i ' ve been to a while in phoenix . <eos>,past_neg
"service was slow , slow , slow and slow . <eos>",past_neg
it was n't worth it for the price for $ _num_ . <eos>,past_neg
the ` ` ` ` ` ` ` ` ` ` ` ` it ' ' . <eos>,past_neg
she did n't know what she did n't get me . <eos>,past_neg
it was a bit bad and the food was very bland . <eos>,past_neg
and the food was ok but the service was very poor . <eos>,past_neg
"it was n't bad , but it was ok . <eos>",past_neg
i had a bad experience with the food and the service . <eos>,past_neg
the fries were n't good either . <eos>,past_neg
"service was slow , but the food was very slow and the food was awful . <eos>",past_neg
the service was ok but the food was very good . <eos>,past_neg
this place was very clean and the staff was very friendly . <eos>,past_neg
i had a bad experience here . <eos>,past_neg
the service was awful . <eos>,past_neg
the service . <eos>,past_neg
the service was terrible . <eos>,past_neg
it was not worth it . <eos>,past_neg
this was a first time i was very disappointed . <eos>,past_neg
i was not impressed with this place . <eos>,past_neg
she was very rude and very rude . <eos>,past_neg
service was slow and slow . <eos>,past_neg
it was n't worth it . <eos>,past_neg
she said it was n't be ready to be back . <eos>,past_neg
the only thing i ' m not even bother to be the other reviews . <eos>,past_neg
this place was very clean and the staff was very friendly . <eos>,past_neg
"however , the service was awful . <eos>",past_neg
i did n't know . <eos>,past_neg
the service was very slow and slow . <eos>,past_neg
it was n't bad at all . <eos>,past_neg
` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ' ' . <eos>,past_neg
it was a little pricey of the food was ok . <eos>,past_neg
the food was ok but it was ok . <eos>,past_neg
the first time i was not impressed with the food was awful . <eos>,past_neg
i did n't know how i could have a bad experience at this location . <eos>,past_neg
the service was n't even better . <eos>,past_neg
the food was awful . <eos>,past_neg
"the service was very slow , but the food was very slow and tasteless . <eos>",past_neg
"the waitress was n't even apologize to us , but we were seated . <eos>",past_neg
the second time was very busy and the service was very slow . <eos>,past_neg
it was n't a good experience to get to get a new car . <eos>,past_neg
it was awful . <eos>,past_neg
the food was ok but the service was very poor . <eos>,past_neg
i had a bad experience at this location . <eos>,past_neg
the food was ok but it ' s not worth it . <eos>,past_neg
service was very slow and slow . <eos>,past_neg
it was n't worth it for the price for $ _num_ . <eos>,past_neg
this was a total disappointment . <eos>,past_neg
the waiter was very rude and the food was n't good . <eos>,past_neg
"the food was ok , but it was cold . <eos>",past_neg
